municipality,year,num_households,median_income
Druten,2017,7.6,27.2
Druten,2018,7.7,27.8
Druten,2019,7.7,29.0
Druten,2020,7.9,30.2
Druten,2021,8.0,31.7
Duiven,2012,10.3,24.5
Duiven,2013,10.4,24.6
Duiven,2014,10.5,25.3
Duiven,2015,10.5,25.9
Duiven,2016,10.5,26.9
Duiven,2017,10.6,27.4
Duiven,2018,10.6,28.1
Duiven,2019,10.7,29.4
Duiven,2020,10.6,30.5
Duiven,2021,10.7,31.7
Echt-Susteren,2012,13.9,23.6
Echt-Susteren,2013,14.0,23.9
Echt-Susteren,2014,13.9,24.7
Echt-Susteren,2015,14.0,25.1
Echt-Susteren,2016,14.1,25.8
Echt-Susteren,2017,14.1,26.6
Echt-Susteren,2018,14.1,26.9
Echt-Susteren,2019,14.1,28.2
Echt-Susteren,2020,14.2,29.3
Echt-Susteren,2021,14.2,30.3
Edam-Volendam,2012,13.9,26.6
Edam-Volendam,2013,13.9,26.5
Edam-Volendam,2014,14.2,27.4
Edam-Volendam,2015,14.4,27.9
Edam-Volendam,2016,14.4,29.2
Edam-Volendam,2017,14.5,29.8
Edam-Volendam,2018,14.6,30.3
Edam-Volendam,2019,14.8,31.6
Edam-Volendam,2020,14.8,32.7
Edam-Volendam,2021,15.0,34.2
Ede,2012,44.4,24.0
Ede,2013,45.1,24.2
Ede,2014,45.5,24.9
Ede,2015,46.2,25.2
Ede,2016,46.6,26.3
Ede,2017,47.2,26.9
Ede,2018,48.0,27.3
Ede,2019,48.5,28.8
Ede,2020,49.2,30.1
Ede,2021,49.8,31.5
Eemnes,2012,3.6,26.8
Eemnes,2013,3.6,27.1
Eemnes,2014,3.6,27.6
Eemnes,2015,3.6,28.2
Eemnes,2016,3.7,29.5
Eemnes,2017,3.8,30.3
Eemnes,2018,3.8,30.8
Eemnes,2019,3.9,32.3
Eemnes,2020,4.0,32.9
Eemnes,2021,4.0,34.5
Eersel,2012,7.2,26.5
Eersel,2013,7.3,26.9
Eersel,2014,7.5,27.5
Eersel,2015,7.6,27.8
Eersel,2016,7.6,28.9
Eersel,2017,7.7,29.7
Eersel,2018,7.8,30.2
Eersel,2019,8.0,31.5
Eersel,2020,8.1,32.8
Eersel,2021,8.2,34.4
Eindhoven,2012,107.6,21.5
Eindhoven,2013,108.3,21.6
Eindhoven,2014,109.3,22.3
Eindhoven,2015,110.8,22.6
Eindhoven,2016,111.9,23.4
Eindhoven,2017,113.8,23.9
Eindhoven,2018,115.7,24.4
Eindhoven,2019,117.1,25.7
Eindhoven,2020,118.2,26.8
Eindhoven,2021,119.0,28.2
Elburg,2012,8.6,23.5
Elburg,2013,8.7,23.6
Elburg,2014,8.8,24.2
Elburg,2015,8.8,24.7
Elburg,2016,8.9,25.7
Elburg,2017,9.0,26.3
Elburg,2018,9.1,26.8
Elburg,2019,9.0,28.1
Elburg,2020,9.1,29.3
Elburg,2021,9.3,30.5
Emmen,2012,47.2,21.3
Emmen,2013,47.2,21.4
Emmen,2014,47.3,22.0
Emmen,2015,47.5,22.3
Emmen,2016,47.6,23.2
Emmen,2017,48.0,23.7
Emmen,2018,48.2,24.0
Emmen,2019,48.2,25.2
Emmen,2020,48.4,26.2
Emmen,2021,48.4,27.4
Enkhuizen,2012,8.2,22.7
Enkhuizen,2013,8.3,22.8
Enkhuizen,2014,8.3,23.6
Enkhuizen,2015,8.3,24.0
Enkhuizen,2016,8.4,25.0
Enkhuizen,2017,8.5,25.6
Enkhuizen,2018,8.5,26.0
Enkhuizen,2019,8.5,27.2
Enkhuizen,2020,8.6,28.3
